Date,공급좌석합계수,관광,일반,대수송,임시,시발역,내국인출입국_전체,공항_인천,공항_김해,공항_김포,공항_제주,공항_기타,항구_부산,항구_인천,항구_제주,항구_기타,외래객입국사유_전체,외래객입국사유_관광,외래객입국사유_상용,외래객입국사유_공융,외래객입국사유_유학연수,외래객입국사유_기타,경제활동인구_전기대비증감,경제활동인구_전년동기대비증감,경제활동인구_이동평균(3기간),실업률_원자료,실업률_전기대비증감,실업률_전년동기대비증감,실업률_이동평균(3기간),15세이상인구_원자료,15세이상인구_전기대비증감,15세이상인구_전년동기대비증감,15세이상인구_이동평균(3기간),비경제활동인구_전기대비증감,비경제활동인구_전년동기대비증감,비경제활동인구_이동평균(3기간),경제활동참가율_원자료,경제활동참가율_전기대비증감,경제활동참가율_전년동기대비증감,경제활동참가율_이동평균(3기간),고용률_원자료,고용률_전기대비증감,고용률_전년동기대비증감,고용률_이동평균(3기간),소비자심리지수_원자료,소비자심리지수_전기대비증감,소비자심리지수_전년동기대비증감,소비자심리지수_이동평균(3기간),총지수_전기대비증감,총지수_전년동기대비증감,총지수_이동평균(3기간),운송장비_전기대비증감,운송장비_전년동기대비증감,운송장비_이동평균(3기간),개인운송장비 운영_원자료,개인운송장비 운영_전기대비증감,개인운송장비 운영_전년동기대비증감,개인운송장비 운영_이동평균(3기간),철도 여객수송_전기대비증감,철도 여객수송_전년동기대비증감,철도 여객수송_이동평균(3기간),도로 여객수송_전기대비증감,도로 여객수송_전년동기대비증감,도로 여객수송_이동평균(3기간),항공 및 수상여객운송_원자료,항공 및 수상여객운송_전기대비증감,항공 및 수상여객운송_전년동기대비증감,항공 및 수상여객운송_이동평균(3기간),기타 여객운송_전기대비증감,기타 여객운송_전년동기대비증감,기타 여객운송_이동평균(3기간),article_count,total_sentiment_score,timeindex_trend,seasonal_1,seasonal_2,외래객입국사유_diff,외래객입국사유_diff_1,소비자심리지수_diff,공항인천_diff,공항김포_diff,내국인출입국_diff,승차인원수_Scaled,승차인원수,dataset_type
2015-01-01 00:00:00,0.804545317,0,0.199233716,0.0,0.107142857,0.461538462,0.62588401,0.65193919,0.544040531,0.933940981,0.269404718,0.144645,0.728109407,0.689592856,0.018659881,0.964639788,0.530224959,0.512810625,0.929299941,0.401611535,0.089647644,0.566215748,0.351272016,0.767406274,0.0,0.444444444,0.52,0.59375,0.555555556,0.0,0.608695652,1.0,0.0,0.656038647,0.420249653,0.468711656,0.1,0.304347826,0.677419355,0.085714286,0.285714286,0.344827586,0.583333333,0.2,0.747641509,0.650485437,0.390048154,0.732044199,0.77936146,0.194287371,0.0,0.681980198,0.307254197,0.329545455,0.268952187,0.173898447,0.067864202,0.272108844,0.343218927,0.281318281,0.0,0.135150271,0.084727896,0.0,0.212640566,0.487840467,0.109608663,0.182897862,0.703074805,0.62303081,0.0,0.091614907,0.12708121,0.0,0.75,0.933012702,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.848089336,1871129,train
2015-02-01 00:00:00,0.402389658,0,0.084291188,0.494623656,0.107142857,0.230769231,0.490881688,0.515299185,0.417473654,0.787335441,0.252536365,0.066562843,0.63085676,0.352184543,0.039016115,0.547202027,0.610061048,0.578424421,0.75137502,0.283149562,0.501141962,0.632052663,0.819960861,0.721499617,0.03202847,0.666666667,0.68,0.5,0.666666667,0.017619252,0.68115942,0.985465116,0.01592768,0.198067633,0.458391123,0.436196319,0.25,0.782608696,0.612903226,0.114285714,0.303571429,0.620689655,0.583333333,0.2,0.764150943,0.624595469,0.417335474,0.73480663,0.384264538,0.149920255,0.01242236,0.451485149,0.235161871,0.318181818,0.18415056,0.339991607,0.0,0.204081633,0.123181162,0.281318281,0.06185567,0.112002987,0.072209777,0.0,0.122927947,0.334241245,0.098206612,0.097387173,0.697108765,0.338909801,0.025423729,0.159937888,0.189262657,0.010204082,0.933012702,0.75,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.66039361,1533571,train
2015-03-01 00:00:00,0.591949787,0,0.114942529,0.0,0.0,0.346153846,0.480841097,0.501167752,0.420836003,0.780657963,0.261337245,0.064734867,0.519350128,0.531625385,0.063613232,0.875027539,0.722025829,0.680794452,0.975383137,0.422391858,0.367984831,0.815464746,0.700587084,0.700841622,0.129893238,0.527777778,0.16,0.53125,0.666666667,0.033089815,0.608695652,0.973837209,0.032716315,0.311111111,0.474341193,0.291411043,0.325,0.652173913,0.580645161,0.285714286,0.428571429,0.827586207,0.5625,0.311111111,0.719339623,0.540453074,0.378812199,0.751381215,0.421322691,0.126141801,0.01242236,0.516633663,0.237709832,0.272727273,0.25422177,0.659420898,0.058821472,0.199546485,0.123181162,0.281318281,0.06185567,0.112002987,0.0673343,0.0,0.011911703,0.284484436,0.022116542,0.035629454,0.335933915,0.442074446,0.038135593,0.094720497,0.152565409,0.020408163,1.0,0.5,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.797897279,1780862,train
2015-04-01 00:00:00,0.407068052,0,0.111111111,0.0,0.0,0.230769231,0.508185619,0.518281933,0.470035255,0.773183173,0.253942061,0.123199469,0.667929293,0.697034124,0.088210348,0.898931483,0.809490586,0.791059591,0.91007636,0.658750353,0.058103624,0.865478262,0.891389432,0.573833206,0.222775801,0.5,0.32,0.53125,0.592592593,0.05027933,0.666666667,0.970930233,0.049074473,0.126570048,0.588765603,0.154601227,0.525,0.869565217,0.451612903,0.428571429,0.571428571,0.862068966,0.479166667,0.466666667,0.787735849,0.69579288,0.425361156,0.773480663,0.4327252,0.121502102,0.01863354,0.522772277,0.145083933,0.25,0.253794507,0.514015946,0.068703759,0.235827664,0.123181162,0.281318281,0.06185567,0.112002987,0.0673343,0.0,0.053144523,0.640077821,0.026929468,0.028503563,0.294171638,0.425763279,0.033898305,0.100931677,0.147468569,0.030612245,0.933012702,0.25,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.742826529,1681821,train
2015-05-01 00:00:00,1.0,0,0.32183908,0.0,0.071428571,0.576923077,0.537275427,0.548298212,0.478447128,0.801859184,0.353624251,0.135637877,0.791012535,0.984373339,0.127226463,0.849966953,0.779411378,0.753802055,1.0,0.625671473,0.110763176,0.852925387,0.778864971,0.727620505,0.299644128,0.444444444,0.28,0.5625,0.555555556,0.06617963,0.623188406,0.950581395,0.06543263,0.234782609,0.445214979,0.04601227,0.675,0.782608696,0.64516129,0.571428571,0.678571429,0.793103448,0.5625,0.577777778,0.820754717,0.647249191,0.518459069,0.743093923,0.5672748,0.137451066,0.02484472,0.566336634,0.101768585,0.227272727,0.284537131,0.578304658,0.102373498,0.260770975,0.123181162,0.281318281,0.06185567,0.112002987,0.0673343,0.0,0.10514369,0.665223735,0.081877041,0.066508314,0.251950436,0.401505646,0.029661017,0.090062112,0.126061842,0.040816327,0.75,0.066987298,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,1.0,2144330,train
2015-06-01 00:00:00,0.394190132,0,0.114942529,0.0,0.035714286,0.230769231,0.465869417,0.489396074,0.397925952,0.668998197,0.225400318,0.08387245,0.521327735,0.771446795,0.158608991,0.755673056,0.430988961,0.366184862,0.644203556,0.405569692,0.142939225,0.721559953,0.569471624,0.704667177,0.338790036,0.472222222,0.4,0.59375,0.518518519,0.082509669,0.637681159,0.938953488,0.080929832,0.442512077,0.462552011,0.0,0.675,0.52173913,0.612903226,0.628571429,0.678571429,0.586206897,0.541666667,0.622222222,0.643867925,0.359223301,0.353130016,0.70718232,0.427023945,0.157749746,0.037267081,0.504950495,0.061300959,0.215909091,0.319796541,0.587620646,0.146922498,0.281179138,0.123181162,0.281318281,0.340206186,0.112002987,0.0673343,0.093567251,0.107476052,0.54922179,0.069586891,0.144893112,0.21844883,0.363167433,0.029661017,0.069875776,0.091294597,0.051020408,0.5,0.0,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.433594932,1125689,train
2015-07-01 00:00:00,0.594994962,0,0.32183908,0.0,0.0,0.346153846,0.570621534,0.60228633,0.481612679,0.822897319,0.145886811,0.097903955,0.652671291,0.867013926,0.09245123,0.846111478,0.358598155,0.295848713,0.671970951,0.492083687,0.100061767,0.642218322,0.582191781,0.693190513,0.319928826,0.416666667,0.28,0.5625,0.481481481,0.096691018,0.565217391,0.927325581,0.095566078,0.426086957,0.470873786,0.05398773,0.675,0.52173913,0.580645161,0.571428571,0.696428571,0.620689655,0.520833333,0.6,0.693396226,0.669902913,0.426966292,0.668508287,0.51368301,0.162534435,0.043478261,0.605940594,0.089778177,0.227272727,0.311027467,0.496810743,0.144001539,0.276643991,1.0,1.0,0.608247423,1.0,0.694162604,0.192982456,0.263827572,0.908949416,0.126453905,0.211401425,0.319412575,0.392025652,0.029661017,0.071428571,0.109751954,0.06122449,0.25,0.066987298,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.669415913,1549797,train
2015-08-01 00:00:00,0.70385876,0,0.432950192,0.0,0.017857143,0.461538462,0.626130807,0.647760395,0.549721244,0.890324451,0.300513385,0.152487937,0.852561762,1.0,0.171331637,0.888576779,0.621176407,0.518204234,0.913226892,0.558948261,0.644296652,0.967062505,0.298434442,0.597551645,0.304270463,0.361111111,0.28,0.53125,0.407407407,0.110012892,0.536231884,0.898255814,0.109341369,0.703381643,0.549930652,0.100613497,0.525,0.260869565,0.483870968,0.514285714,0.625,0.448275862,0.5,0.6,0.724056604,0.644012945,0.417335474,0.712707182,0.492018244,0.157894737,0.043478261,0.685148515,0.23471223,0.215909091,0.274079349,0.438690726,0.12729785,0.242630385,0.123181162,1.0,0.87628866,0.174724659,0.726841481,0.292397661,0.277134527,0.574854086,0.111585401,0.190023753,0.424047728,0.369580371,0.038135593,0.068322981,0.107373428,0.071428571,0.066987298,0.25,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.793894904,1773664,train
2015-09-01 00:00:00,0.359776316,1,0.30651341,0.548387097,0.160714286,0.230769231,0.513807809,0.538234291,0.44344846,0.77000299,0.266165505,0.101697771,0.572197882,0.668651005,0.148430874,0.688037013,0.703281205,0.644647345,0.866716506,0.592168504,0.266084433,0.918899368,0.594911937,0.654169855,0.283274021,0.305555556,0.28,0.53125,0.333333333,0.123764504,0.550724638,0.886627907,0.122686182,0.410628019,0.495839112,0.155214724,0.55,0.565217391,0.548387097,0.485714286,0.660714286,0.655172414,0.541666667,0.6,0.754716981,0.644012945,0.423756019,0.759668508,0.275370582,0.13092649,0.037267081,0.358217822,0.060851319,0.204545455,0.227731434,0.419303399,0.118779844,0.204081633,0.123181162,1.0,0.87628866,0.112002987,0.726841481,0.298245614,0.054331529,0.023394942,0.0,0.111638955,0.386415787,0.316882755,0.042372881,0.128881988,0.186544343,0.081632653,0.0,0.5,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.689184801,1585350,train
2015-10-01 00:00:00,0.709578212,0,0.482758621,0.0,0.0,0.461538462,0.591439985,0.604205713,0.559786691,0.856665247,0.35454101,0.157139575,0.741526713,0.653449559,0.232400339,0.880700595,0.808975079,0.764815644,0.960484861,0.728159457,0.092190126,0.987618457,0.53816047,0.622800306,0.283629893,0.277777778,0.32,0.46875,0.296296296,0.136226902,0.507246377,0.877906977,0.135600517,0.463768116,0.52149792,0.173006135,0.55,0.52173913,0.548387097,0.457142857,0.678571429,0.620689655,0.5625,0.6,0.816037736,0.686084142,0.510433387,0.801104972,0.416191562,0.172248804,0.031055901,0.667524752,0.135791367,0.181818182,0.206795524,0.471716324,0.131495636,0.170068027,0.123181162,1.0,0.87628866,0.112002987,0.719067071,0.298245614,0.058225739,0.55286965,0.042055807,0.007125891,0.348783846,0.308099819,0.046610169,0.029503106,0.043153245,0.091836735,0.066987298,0.75,0.71135365,0.679864366,0.502407705,0.60074627,0.631475013,0.611808588,0.885880589,1939094,train
